Date;1619 - Minimum wage - c.m.u.;1785 - Monetary base - Monetary base (working day balance average) - c.m.u. (thousand);3546 - International reserves - Total - monthly - US$ (million);22701 - Current account - monthly - net - US$ (million);28544 - Real effective overall earnings - R$ (million);29023 - Households gross disposable national income (3-months moving average) - R$ (million);29027 - Households gross disposable national income (deflated by IPCA, seasonally adjusted, 3-months moving average) - R$ (million)
02/1998;120.00 ;31,933,702 ;58,782 ;-1,628.4 ;-;-;-
03/1998;120.00 ;30,854,706 ;68,594 ;-2,554.3 ;-;-;-
04/1998;120.00 ;30,854,245 ;74,656 ;-2,962.1 ;-;-;-
05/1998;130.00 ;32,352,734 ;72,826 ;-2,172.6 ;-;-;-
06/1998;130.00 ;33,109,211 ;70,898 ;-2,596.6 ;-;-;-
07/1998;130.00 ;33,478,989 ;70,210 ;-2,196.9 ;-;-;-
08/1998;130.00 ;33,934,758 ;67,333 ;-1,872.1 ;-;-;-
09/1998;130.00 ;34,604,118 ;45,811 ;-5,011.6 ;-;-;-
10/1998;130.00 ;34,839,756 ;42,385 ;-5,098.1 ;-;-;-
11/1998;130.00 ;33,439,736 ;41,189 ;-2,827.8 ;-;-;-
12/1998;130.00 ;39,285,393 ;44,556 ;-3,779.3 ;-;-;-
01/1999;130.00 ;39,110,776 ;36,136 ;-2,560.4 ;-;-;-
02/1999;130.00 ;39,177,623 ;35,457 ;-1,120.6 ;-;-;-
03/1999;130.00 ;37,616,515 ;33,848 ;-2,160.7 ;-;-;-
04/1999;130.00 ;36,458,639 ;44,315 ;-2,731.6 ;-;-;-
05/1999;136.00 ;35,505,720 ;44,310 ;-1,708.8 ;-;-;-
06/1999;136.00 ;36,542,714 ;41,346 ;-3,054.4 ;-;-;-
07/1999;136.00 ;39,054,392 ;42,156 ;-1,677.5 ;-;-;-
08/1999;136.00 ;39,050,940 ;41,918 ;-2,121.5 ;-;-;-
09/1999;136.00 ;39,041,169 ;42,562 ;-1,476.6 ;-;-;-
10/1999;136.00 ;37,011,937 ;40,053 ;-2,607.3 ;-;-;-
11/1999;136.00 ;37,962,124 ;42,175 ;-2,440.3 ;-;-;-
12/1999;136.00 ;45,407,325 ;36,342 ;-3,123.8 ;-;-;-
01/2000;136.00 ;45,753,259 ;37,560 ;-1,049.0 ;-;-;-
02/2000;136.00 ;42,197,143 ;38,364 ;-1,306.8 ;-;-;-
03/2000;136.00 ;40,905,821 ;39,200 ;-2,049.6 ;-;-;-
04/2000;151.00 ;38,549,248 ;28,721 ;-3,122.3 ;-;-;-
05/2000;151.00 ;38,460,371 ;28,570 ;-1,767.2 ;-;-;-
06/2000;151.00 ;37,923,705 ;28,265 ;-2,596.0 ;-;-;-
07/2000;151.00 ;37,140,782 ;29,214 ;-1,482.8 ;-;-;-
08/2000;151.00 ;37,854,681 ;31,385 ;-1,648.5 ;-;-;-
09/2000;151.00 ;38,060,397 ;31,431 ;-1,825.4 ;-;-;-
10/2000;151.00 ;39,298,729 ;30,393 ;-3,727.4 ;-;-;-
11/2000;151.00 ;40,005,562 ;32,533 ;-2,846.9 ;-;-;-
12/2000;151.00 ;46,303,526 ;33,011 ;-3,108.9 ;-;-;-
01/2001;151.00 ;46,458,537 ;35,598 ;-2,425.9 ;-;-;-
02/2001;151.00 ;44,300,228 ;35,413 ;-1,927.2 ;-;-;-
03/2001;151.00 ;43,306,025 ;34,407 ;-2,764.5 ;-;-;-
04/2001;180.00 ;43,543,390 ;34,653 ;-2,502.8 ;-;-;-
05/2001;180.00 ;43,636,046 ;35,459 ;-2,363.4 ;-;-;-
06/2001;180.00 ;43,936,119 ;37,318 ;-2,248.7 ;-;-;-
07/2001;180.00 ;45,003,752 ;35,552 ;-2,159.1 ;-;-;-
08/2001;180.00 ;45,010,319 ;36,299 ;-1,263.9 ;-;-;-
09/2001;180.00 ;45,132,802 ;40,054 ;-1,032.2 ;-;-;-
10/2001;180.00 ;45,430,376 ;37,492 ;-2,607.8 ;-;-;-
11/2001;180.00 ;45,586,687 ;37,234 ;-1,670.2 ;-;-;-
12/2001;180.00 ;52,846,221 ;35,866 ;-1,924.4 ;-;-;-
01/2002;180.00 ;52,297,704 ;36,167 ;-1,305.0 ;-;-;-
